Japonês,Inglês,Português,Explicação,Tipo de Termo,Onde aparece
,Age of Gods,Era dos Deuses,A era em que deuses coexistiam com humanos e a atmosfera era repleta de energia mágica e de Mistérios.,Geral,FGO
,Age of Humans,Era dos Humanos,"A era que sucede a dos Deuses. Os humanos agora vivem por conta própria, sem a influência divina.",Geral,FGO
,Atlas Institute,Instituto Atlas,"Uma das ramificações da Associação dos Magos. Um templo subterrâneo repleto de alquimistas geniais e armas perigosas. Também conhecido como ""Fenda do Titã"" e ""Academia Atlas.""",Geral,FGO
,Bounded Field,Campo Limitado,É um tipo de magia que cria uma barreira em uma área específica.,Geral,FGO
,Central Command Room,Sala de Controle Central,A Sala de Controle de Chaldea.,Geral,FGO
,Chaldea Security Organization,Organização de Segurança Chaldea,A organização responsável por proteger o futuro da humanidade dos perigos observados pelas Lentes Sheba.,Geral,FGO
,Clock Tower,Torre do Relógio,"Uma das ramificações da Associação dos Magos, e sua sede. É dividida em doze Departamentos focados em tipos específicos de magia.",Geral,FGO
,Command Spell(s),Selo(s) de Comando,As marcas concedidas pelo Graal aos Mestres em uma Guerra do Santo Graal. São utilizadas para forçar Servos a obedecerem comandos.,Geral,FGO
,Counter Force,Força de Contenção,"O mecanismo inato do planeta para proteção da humanidade, invocando Espíritos Heroicos e Guardiões da Counter Force.",Geral,FGO
,Crown Prince,Príncipe Herdeiro,O título de Nezha.,Geral,FGO
,Dead Apostle,Apóstolo Morto,Um humano que se tornou um vampiro por meio de outro vampiro ou por magia.,Geral,FGO
,Demi-Servant,Semi-Servo,Um humano que adquiriu o Saint Graph de um Espírito Heroico.,Geral,FGO
,Demon God,Demônio de Salomão,"Os 72 demônios que o Rei Salomão teria evocado e confinado num vaso de bronze, a fim de comandá-los.",Geral,FGO
,Demon God Pillar,Grande Pilar Demoníaco,Outro nome para os 72 Demônios de Salomão.,Geral,FGO
,Demonic Beast,Besta Demoníaca,,Geral,FGO
,Divided Spirits,Espíritos Derivados,"Divindades que são conhecidas por nomes e histórias diferentes em mitologias diferentes, mas são o mesmo ser. (Exemplo: Indra e Gozu Tennou)",Geral,FGO
,Divine Construct,Construto Divino,Uma arma ou armadura forjada por deuses.,Geral,FGO
,Divine Spirit,Espírito Divino,Um espírito num nível próximo de um deus.,Geral,FGO
,Ether Body,Corpo Etéreo,,Geral,FGO
,Foundation of Humanity,Fundação da Humanidade,A ordem de relevância de um acontecimento para a história humana.,Geral,FGO
,"Global Enviroment Model, Chaldeas","Maquete do Ambiente Global, Chaldeas","A maquete que replica a condição atual do planeta com a assistência das Lentes Sheba, podendo observar também até 100 anos no futuro.",Geral,FGO
,Greater Grail,Graal Maior,O corpo real do Graal realizador de desejos.,Geral,FGO
,Heroic Spirit,Espírito Heroico,"Uma figura, histórica ou fictícia, marcada na história pelos seus grandes feitos.",Geral,FGO
,High Servant,Servo Composto,Um Servo anômalo composto por fragmentos de diferentes divindades e Espíritos Heroicos.,Geral,FGO
,Holy Church,Santa Igreja,"A Igreja que lida com diversos assuntos do mundo mágico, além de supervisionar as Guerras do Santo Graal.",Geral,FGO
,Holy Grail,Santo Graal,O Santo Graal realizador de desejos.,Geral,FGO
,Homunculus(li),Homúnculo(s),Seres artificiais criados com altos níveis de circuitos mágicos de alta qualidade.,Geral,FGO
,Irelands Child of Light,Filho da Luz da Irlanda,Título do Cú Chulainn.,Geral,FGO
,King of Heroes,Rei dos Heróis,Título do Gilgamesh.,Geral,FGO
,King of Knights,Rei dos Cavaleiros,Título da Arthuria Pendragon e do Arthur Pendragon.,Geral,FGO
,Klein Coffins,Cápsulas Klein,As Cápsulas utilizadas para o processo de transformação de matéria em Spiritrons para o Rayshift.,Geral,FGO
,Lesser Grail,Graal Menor,"O recipiente que se assemelha a um Graal, um receptáculo ligado ao Graal Maior.",Geral,FGO
,Leyline,Linha ley,Locais do planeta com grandes quantias de fluxo de energia mágica.,Geral,FGO
,Magecraft,Magia,"Os métodos humanos de recriar Mistérios, executando feitiços normalmente vistos como sobrenaturais.",Geral,FGO
,Mages Association,Associação dos Magos,A instituição que rege as regras da sociedade dos magos.,Geral,FGO
,Magic Circuit(s),Circuito(s) Mágico(s),"Uma parte do sistema nervoso por onde flui energia mágica no corpo de um mago. Quanto mais circuitos mágicos de boa qualidade, melhor é o mago.",Geral,FGO
,Magic Crest,Brasão Mágico,"O brasão composto por circuitos mágicos de geração em geração numa linhagem de magos, e que guarda informações sobre os feitiços masterizados pela mesma.",Geral,FGO
,Marble Phantasm,Projeção de Fantasia,,Geral,FGO
,Memory Partition,Repartição de Memória,Uma técnica dos alquimistas do Instituto Atlas que os permite repartir suas funções cerebrais e otimizar seu desempenho.,Geral,FGO
,Mystic Code,Artefato Místico,"São aparatos mágicos com o objetivo de aprimorar feitiços do mago usuário, executar feitiços próprios, ou auxiliar o mago de formas específicas.",Geral,FGO
,Mystic Eyes,Olhos Místicos,Olhos altamente cobiçados que possuem habilidades mágicas excepcionais.,Geral,FGO
,Mystic Eyes of Clear Vision,Olhos Místicos da Clarividência,"Olhos Místicos que permitem que o portador observe além do alcance. Alguns são capazes de rever o passado, de observar todo o presente, ou até de prever o futuro.",Geral,FGO
,Mystic Eyes of Death Perception,Olhos Místicos de Percepção da Morte,"Olhos Mísitcos que permitem que o portador observe as ""linhas de morte"" de um objeto ou ser vivo, podendo assim cortá-las e acabar com sua ""vida.""",Geral,FGO
,Mystics,Mistérios,Tudo aquilo que é sobrenatural ou de origem divina. A queda da Era dos Deuses e o advento da tecnologia diminuíram consideravelmente suas forças e quantiadades.,Geral,FGO
,"Near-Future Observation Lens, Sheba","Lentes de Observação do Futuro Próximo, Sheba","Um mecanismo que permite a observação detalhada de eventos do presente, podendo também observar o passado e o futuro com menor precisão e estabilidade.",Geral,FGO
,Noble Phantasm,Fantasma Nobre,A sublimação da lenda de um Espírito Heroico em um artefato ou arma. A marca registrada de um Herói.,Geral,FGO
,Phantasmal Species,Espécies Fantasmais,Todas as espécies sobrenaturais do mundo.,Geral,FGO
,Reality Marble,Projeção de Realidade,"O tipo de Campo Limitado mais poderoso, onde o usuário projeta seu mundo interno sobre o mundo externo, temporariamente reescrevendo a textura do mundo.",Geral,FGO
,Recovery Pod,Cápsula de Recuperação,,Geral,FGO
,Saint Graph/Spirit Origin,Origem Espiritual,É a fundação da formação do corpo de um Servo.,Geral,FGO
,Santa Servant,Servo Noel,Um Servo afetado pela febre do Natal.,Geral,FGO
,Shadow Servant,Servo Sombrio,"Um Servo incompleto, degradado, ou falso.",Geral,FGO
,Singularity,Singularidade,Alterações do espaço-tempo que podem causar mudanças na história humana se não forem corrigidas pela equipe da Chaldea.,Geral,FGO
,Spirit Core/Spiritual Core,Núcleo Espiritual,"O núcleo da existência de um Servo. Contanto que ele esteja intacto, o Servo continuará vivo.",Geral,FGO
,"Spiritron Calculation Engine, Trismegistus","Mecanismo de Cálculos de Spiritron, Trismegistus","Um supercomputador dado à Chaldea pelo Instituto Atlas. Por meio de cálculos mágicos, ele pode provar a existência de um Mestre independente de que momento na história ele existiu ou existirá.",Geral,FGO
,Stamina,Vigor,,Geral,FGO
,Stray Servant,Servo Errante,Um Servo invocado pelo Graal sem possuir um Mestre.,Geral,FGO
,Team A,Equipe A,"Os sete magos mais capacitados contratados por Marisbury em Chaldea. Após a explosão da Sala de Controle, eles são colocados em Cápsulas para que seus corpos sejam preservados.",Geral,FGO
,True Ancestor(s),Ancestral(is) Original(is),"Vampiros naturais, criados pela própria natureza. Os vampiros originais.",Geral,FGO
,True Magic,Magia Verdadeira,"São os feitiços Classeificados como ""milagres"" e ""impossíveis"". Sua existência é um perigo aos olhos da Counter Force. Existem apenas cinco, por enquanto.",Geral,FGO
,True Name,Nome Verdadeiro,O Nome Verdadeiro de um Servo.,Geral,FGO
,Twelve Lords,Doze Lordes,Os líderes dos doze departamentos da Torre do Relógio.,Geral,FGO
,Ultimate One,Ser Supremo,O representante do planeta em termos de força e habilidade. O ser mais forte.,Geral,FGO
,Wandering Sea,Mar Errante,"Uma das ramificações da Associação dos Magos. Seus magos preferem se isolar do mundo moderno. Também conhecido como ""Baldanders.""",Geral,FGO
,Earth,Terra,Heróis de mitos e lendas fantasiosos.,Atributos,FGO
,Heaven,Céus,Heróis que possuem grande nível de divindade.,Atributos,FGO
,Man,Humano,Heróis de natureza comum que conquistaram grandes feitos.,Atributos,FGO
,Star,Estrela,Heróis que mudaram o curso da história da humanidade.,Atributos,FGO
,Chimera,Quimera,(termo feminino),Bestiário,FGO
,D'yavol tron,D'yavol tron,(termo feminino),Bestiário,FGO
,Helter Skelter,Helter Skelter,(termo masculino),Bestiário,FGO
,Kali,Kali,(termo masculino),Bestiário,FGO
,Lamia,Lamia,(termo feminino),Bestiário,FGO
,Wyvern,Wyvern,(termo masculino),Bestiário,FGO
,Amalgam Goad,Amálgama de Incitações,,Habilidade,FGO
,Authority,Autoridade,"O poder, normalmente divino, de controle sobre um aspecto natural ou fabricado.",Habilidade,FGO
,Avenger,Avenger (passiva da Classee),A capacidade de acumular e atrair ódio e ressentimento de um Avenger cristalizada em uma habilidade.,Habilidade,FGO
,Bunker Bolt,Bunker Bolt,,Habilidade,FGO
,Cosmo Reactor,Reator de Cosmos,"Um reator cósmico permitido apenas à Saber brilhante. O reator reage a diversas coisas, como o enredo, por exemplo.",Habilidade,FGO
,Divinity,Divindade,O sangue divino pertencente aos deuses e que corre nas veias de seus descendentes.,Habilidade,FGO
,Entity of the Outer Realm,Entidade do Domínio Exterior,"A demonstração da ligação de um Servo com forças de um outro cosmos, ou então da sua origem alienígena.",Habilidade,FGO
,Fae Eyes,Olhos de Fada,Os olhos feéricos capazes de discernir a verdade da mentira. As fadas da atualidade já não nascem mais com tal poder.,Habilidade,FGO
,Goddess' Essence (Core of the Goddess),Essência da Deusa,O status de alguém que já nasceu sendo uma deusa perfeita. A essência de uma deusa verdadeira.,Habilidade,FGO
,Heavenly Eye,Olho Celestial,"Olhos que determinam que o portador ""alcançará seu objetivo.""",Habilidade,FGO
,High-Speed Divine Words,Palavras Divinas em Alta Velocidade,"A habilidade de recitar encantamentos em alta velocidade, normalmente com o uso de palavras da Era dos Deuses.",Habilidade,FGO
,Independent Action,Ação Independente,A habilidade de agir independentemente por um período de tempo mesmo depois de ter o vínculo ao seu Mestre cortado.,Habilidade,FGO
,Independent Manifestation,Manifestação Independente,"A confirmação da própria existência sem a necessidade de um eixo, como um Mestre. É uma habilidade exclusiva das Beasts, mas existem exceções.",Habilidade,FGO
,Independent Navigation,Navegação Independente,"Uma habilidade equivalente à Ação Independente, mas para a Classee Voyager.",Habilidade,FGO
,Innocent Monster,Monstro Inocente,"A cristalização de contos e boatos monstruosos que mancharam a história do Servo, como um rei que acaba com a fama de ser um vampiro por rumores e mentiras.",Habilidade,FGO
,Item Construction,Criação de Itens,A habilidade de criar itens com o mero uso de magia.,Habilidade,FGO
,Mad(ness) Enhancement,Aprimoramento por Loucura,O aumento de todos os parametros ofensivos de um Servo às custas de sua sanidade.,Habilidade,FGO
,Magic Resistance,Resistência Mágica,A capacidade de resistir a encantamentos e magias de níveis menores.,Habilidade,FGO
,Mana Burst,Explosão de Mana,"Uma explosão da energia mágica que cobre o corpo ou a arma do Servo, a fim de aumentar exponencialmente seu poder por um curto período de tempo.",Habilidade,FGO
,Mind's Eye (False),Olho da Mente (Falso),"A capacidade de prever os movimentos do seu adversário. A versão ""falsa"" é derivada de uma precognição natural e inerente da própria pessoa.",Habilidade,FGO
,Mind's Eye (True),Olho da Mente (Verdadeiro),"A capacidade de prever os movimentos do seu adversário. A versão ""verdadeira"" se conquista após anos de treinamento e disciplina.",Habilidade,FGO
,Natural Body,Corpo Natural,"Aqueles que possuem um ""corpo perfeito"" desde o nascimento são capazes de aumentar sua força física temporariamente.",Habilidade,FGO
,Nega Desire,Negação de Desejos,,Habilidade,FGO
,Nega Genesis,Negação da Gênese,,Habilidade,FGO
,Nega Saver,Negação da Salvação,,Habilidade,FGO
,Nega Self,Negação da Individualidade,,Habilidade,FGO
,Nega Summon,Negação de Invocação,,Habilidade,FGO
,Nega Weapon,Negação de Armas,,Habilidade,FGO
,Oblivion Correction,Correção do Oblívio,"As pessoas podem esquecer, mas os Avengers nunca se esquecem. Eles atacam os pontos fracos que seus oponentes esqueceram para infligir dano crítico.",Habilidade,FGO
,Obscurant Wall of Chalk,Muralha Obscura de Calcário,"O aliado-alvo se torna invulnerável a ataques. Em níveis mais altos, ataques passam através do alvo, como se ele estivesse fora do eixo do tempo-espaço.",Habilidade,FGO
,Pioneer of the Stars,Pioneiro das Estrelas,"A habilidade daqueles que, enquanto vivos, mudaram o rumo da história humana. A habilidade de tornar o impossível possível.",Habilidade,FGO
,Presence Concealment,Ocultação de Presença,"A habilidade de se esgueirar sem ser notado, quase imperceptível e indetectável. O nível cai enquanto o Servo prepara um ataque.",Habilidade,FGO
,Riding,Equitação,"A habilidade que demonstra a capacidade de conduzir montarias, de cavalos básicos a Bestas Divinas.",Habilidade,FGO
,Self-Replenishment (Magic),Auto-Reabastecimento (Magia),A energia mágica de um Avenger nunca se esvairá enquanto sua vingança não for concluída.,Habilidade,FGO
,Shapeshift,Metamorfo/Metamorfose,,Habilidade,FGO
,Shield of RouSing Resolution,Escudo da Resolução Encorajadora,Uma habilidade para atrair a atenção dos inimigos corajosamente para manter seus aliados em segurança.,Habilidade,FGO
,Stargazer's Journey,Jornada da Observadora de Estrelas,,Habilidade,FGO
,Succeed Phantasm: Possession Inheritance,Fantasma Sucessor: Herança de Possesão,A habilidade de um Semi-Servo herdar uma habilidade do Servo original e usá-la como se fosse sua.,Habilidade,FGO
,Territory Creation,Criação de Território,"A habilidade de modelar o território ao seu redor, favorecendo o conjurador. O modo de manusear o local varia bastante de Servo para Servo.",Habilidade,FGO
,Territory Defense,Defesa de Território,"O poder de defender o território aliado. Quanto maior o nível, maior o tamanho da área protegida.",Habilidade,FGO
,Transient Wall of Snowflakes,Muralha Transitória de Flocos de Neve,"Uma habilidade de defesa para os aliados. Quanto maior a força de vontade do Servo, maior a força defensiva desta habilidade.",Habilidade,FGO
,Alter-Ego,Alter-Ego,Aquele que não é. A outra faceta de um grande nome. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Archer,Archer,O cavaleiro do arco. Aquele que ataca à distância e age com astúcia. (Os nomes das Classees permanecem em inglês),Classe,FGO
,AssasSin,AssasSin,"A definição da palavra ""assasSino."" Aquele que sabota, ataca, e mata pelas sombras. (Os nomes das Classees permanecem em inglês)",Classe,FGO
,Avenger,Avenger,O eterno vingador. A amálgama de ódio e ressentimento em forma de Classee. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Beast,Beast,Os Males da Humanidade. Os seres de amor que a Humanidade está fadada a enfrentar e derrotar. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Berserker,Berserker,O guerreiro da brutalidade. Aquele que trocou sua sanidade por poder. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Caster,Caster,O conjurador de feitiços. Aquele que usa e abusa de cânticos para canalizar magias antigas. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Foreigner,Foreigner,"A Classee com ligações aos Deuses Exteriores, ou com ligação intrínseca com o cosmos além do nosso universo. (Os nomes das Classees permanecem em inglês)",Classe,FGO
,Lancer,Lancer,O cavaleiro da lança. O mestre do combate corpo a corpo com instrumentos longos e velozes. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Moon Cancer,Moon Cancer,O defeito da Lua. Aquele que infecta o supercomputador lunar. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Pretender,Pretender,A mancha na história. Aquele que assume um nome que não lhe pertence. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Rider,Rider,"O herói da cavalaria que, em sua montaria, desbrava os campos de batalha. (Os nomes das Classees permanecem em inglês)",Classe,FGO
,Ruler,Ruler,"O santo, o mártir, o líder absoluto. Aquele que supervisiona a Guerra do Santo Graal. (Os nomes das Classees permanecem em inglês)",Classe,FGO
,Saber,Saber,O cavaleiro da espada que brande sua arma com assertividade e determinação. (Os nomes das Classees permanecem em inglês),Classe,FGO
,Shielder,Shielder,"O defensor. Aquele que se dedica a defender, mesmo que custe tudo de si. (Os nomes das Classees permanecem em inglês)",Classe,FGO
,Nergal's Malice,Rancor de Nergal,Os sentimentos reminiscentes de Nergal no submundo.,Eventos,FGO
,Heroic Spirit Summoning System FATE,"Sistema ""FATE"" de Invocação de Espíritos Heroicos",O sistema empregado por Chaldea para conduzir invocações de Servos.,Fuyuki,FGO
,Master Candidate #48,Candidato(a) a Mestre N° 48,"Você, o jogador. O último dos candidatos a se inscrever para a vaga.",Fuyuki,FGO
,Phenomenon Recording Cyber Daemon Laplace,"Serviço Cibernético de Observação, Laplace",O sistema que guarda todos os dados observados do passado pelas Lentes Sheba.,Fuyuki,FGO
,Dragon Witch,Bruxa dos Dragões,Título da Jeanne d'Arc que comanda os dragões na primeira Singularidade.,Orleans,FGO
,Spiritron Shell,Carcaça de Spiritron,"A camada exterior de um Servo, seu cadáver",Orleans,FGO
,Flying Geral,Geral Voador,Título do Lu Bu Fengxian.,Septem,FGO
,Holy Ancestor,Progenitor Divino,"O título do Romulus, como o progenitor da dinastia romana.",Septem,FGO
,Scourge of God,Chicote de Deus,O título da Altera.,Septem,FGO
,Age of Exploration,Era das Grandes Navegações,A era da Expansão Marítima dos séculos XV e XVI.,Okeanos,FGO
,Ark,Arca,O Fantasma Nobre do David. A Arca da Aliança descrita na Bíblia como a guardadora das tábuas dos Dez Mandamentos.,Okeanos,FGO
,Automata,Autômato,Um manequim animado.,London,FGO
,Project Demonic Fog,Projeto Névoa Demoníaca,"O projeto que visa destruir a cidade de Londres, e então toda a Inglaterra.",London,FGO
,Treacherous Knight,Cavaleiro da Traição,O título da Mordred por trair Camelot nas lendas.,London,FGO
,Hero of Benefaction,Herói da Caridade,Título do Karna por ser extremamente caridoso nas lendas.,America,FGO
,Hero of Endowed,Herói Agraciado,Título do Arjuna por receber diversas bênçãos nas lendas.,America,FGO
,Land of Shadows,Terra das Sombras,"Um reino que foi separado do Mundo, e atualmente se encontra no Lado Inverso do Mundo, sendo repleto de morte.",America,FGO
,Mad King,Rei Insano,Título do Cú Chulainn (Alter) durante a Singularidade.,America,FGO
,No Face May King,Rei Sem Face,O Fantasma Nobre do Robin Hood que o concede camuflagem.,America,FGO
,Presi-king,Presi-rei,Título do Edison durante a Singularidade.,America,FGO
,Enforcement Knight,Cavaleiro Executor,,Camelot,FGO
,First Hassan,Primeiro Hassan,O fundador da seita assasSina. O primeiro Hassan-i Sabbah.,Camelot,FGO
,Gift,Dádiva,Bênçãos da Deusa Rhongomyniad,Camelot,FGO
,Goddess Rhongomyniad,Deusa Rhongomyniad,"A Arthuria cujo espírito continuou preso a Camelot e ascendeu à divindade graças ao poder da Lança Sagrada, Rhongomyniad, perdendo toda sua essência humana.",Camelot,FGO
,Hassan of Serenity,Hassan da Serenidade,,Camelot,FGO
,Hassan of the Cursed Arm,Hassan do Braço Amaldiçoado,,Camelot,FGO
,Hassan of the Hundred Faces,Hassan das Cem Personas,,Camelot,FGO
,Hassan of the Intoxicating Smoke,Hassan da Fumaça Intoxicante,,Camelot,FGO
,Hassan of the Peeling Shadows,Hassan das Sombras Descascadas,,Camelot,FGO
,Hassan of the Trembling Pipe,Hassan do Cachimbo Trêmulo,,Camelot,FGO
,Holy City,Cidade Sagrada,A nova Camelot.,Camelot,FGO
,Holy Land,Terra Santa,"A Terra Prometida, Jerusalém.",Camelot,FGO
,Holy Selection,Seleção Sagrada,O ato de seleção dos dignos a se tornarem moradores de Camelot.,Camelot,FGO
,Knights of the Round Table,Cavaleiros da Távola Redonda,Os companheiros de guerra do Rei Arthur.,Camelot,FGO
,Lion King,Rei Leão,O título da Deusa Rhongomyniad durante a Singularidade.,Camelot,FGO
,Old Man of the Mountain,Velho da Montanha,"O título dado ao Hassan-i Sabbah de cada geração, aquele que lidera a Ordem dos AssasSinos.",Camelot,FGO
,Raider Knight,Cavaleiro Expedicionário,O título do Lancelot durante a Singularidade.,Camelot,FGO
,Sacred Lance/Spear,Lança Sagrada,"Rhongomyniad, a Lança Sagrada.",Camelot,FGO
,Sun King,Rei Sol,O título do Ozymandias.,Camelot,FGO
,The Shining Arm,O Braço Cintilante,O braço do Bedivere.,Camelot,FGO
,The Tower at the Ends of the World,A Torre nos Confins do Mundo,"A torre que reside no Lado Inverso do Mundo, mantendo ambas as texturas do mundo intactas e separadas. A verdadeira Rhongomyniad.",Camelot,FGO
,Titan's Pit,Fenda do Titã,Um dos nomes do Instituto Atlas.,Camelot,FGO
,Absolute Demonic Front,Fronte Demoníaco Absoluto,O fronte de Uruk que batalha contras as Bestas Demoníacas.,Babylonia,FGO
,Chains of the Heavens,Corrente dos Céus,"O título de Enkidu, devido à sua forma de corrente divina.",Babylonia,FGO
,Chaos Tide,Maré do Caos,A maré criada pela Tiamat capaz de corromper seres vivos e Servos.,Babylonia,FGO
,Evil(s) of Humanity,Mal(es) da Humanidade,"As Beasts, criaturas que a humanidade está destinada a enfrentar e superar.",Babylonia,FGO
,Grand Servant,Servo Grand,Um Servo invocado pela Counter Force para previnir a extinção da humanidade pelas mãos de uma Beast.,Babylonia,FGO
,Northern Wall,Muralha do Norte,A muralha da porção norte da cidade de Uruk.,Babylonia,FGO
,Sacred Temple,Templo Sagrado,O templo de Uruk.,Babylonia,FGO
,The Fangs of Napishtim,As Presas de Napishtim,A barreira empregada pelo Gilgamesh para impedir o avanço da Maré do Caos.,Babylonia,FGO
,Three Goddess Alliance,Aliança das Três Deusas,A aliança formada pelas três deusas a fim de destruir Uruk e a humanidade.,Babylonia,FGO
,Wedge of the Heavens,Eixo dos Céus,O título atribuído ao Gilgamesh por desejar o rompimento da dependência humana com os deuses.,Babylonia,FGO
,"Amon, the Gazing Star","Amon, a Estrela Observadora",,Solomon,FGO
,"Andromalius, the Trash Heap","Andromalius, o Monte de Lixo",,Solomon,FGO
,"Barbatos, the Control Tower","Barbatos, a Torre de Controle",,Solomon,FGO
,"Flauros, the Information Center","Flauros, o Centro de Informações",,Solomon,FGO
